id	source_xpath	source_line	source_value	status	FHIR_targets	rule
amb-map-0043	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:InsurancePolicyType[1]/@codeSystem	57	1.2.643.5.1.13.13.11.1035	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/3/type/coding/2/system	OID -> canonical RuCore URI or urn:oid
amb-map-0044	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:InsurancePolicyType[1]/@codeSystemName	57	Виды полиса обязательного медицинского страхования	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0045	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:InsurancePolicyType[1]/@displayName	57	Полис ОМС старого образца	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/3/type/coding/2/display	copy
amb-map-0046	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:InsurancePolicyType[1]/@codeSystemVersion	57	1.3	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/3/type/coding/2/version	copy
amb-map-0047	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:Series[1]/text()	59	ЧБ	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/3/value	series + space + number
amb-map-0048	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/identity:InsurancePolicy[1]/identity:Number[1]/text()	61	1344600	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/identifier/3/value	series + space + number
amb-map-0049	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:Type[1]/@code	66	1	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/0/code; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/1/code	retain original NSI coding alongside canonical RuCore coding
amb-map-0050	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:Type[1]/@codeSystem	66	1.2.643.5.1.13.13.11.1504	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/0/system; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/1/system	retain original NSI coding alongside canonical RuCore coding
amb-map-0051	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:Type[1]/@codeSystemName	66	Тип адреса пациента	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0052	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:Type[1]/@codeSystemVersion	66	1.4	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/1/version	NSI edition belongs to source OID coding
amb-map-0053	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:Type[1]/@displayName	66	Адрес по месту жительства (постоянной регистрации)	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/0/display; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/0/valueCodeableConcept/coding/1/display	retain original NSI coding alongside canonical RuCore coding
amb-map-0054	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/cda:streetAddressLine[1]/text()	68	г Москва, ул Твардовского, д 5 к 1, кв 42	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/text	copy
amb-map-0055	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:stateCode[1]/@code	70	77	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/0/code; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/1/code	retain original NSI coding alongside canonical RuCore coding
amb-map-0056	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:stateCode[1]/@codeSystem	70	1.2.643.5.1.13.13.99.2.206	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/0/system; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/1/system	retain original NSI coding alongside canonical RuCore coding
amb-map-0057	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:stateCode[1]/@codeSystemName	70	Субъекты Российской Федерации	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0058	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:stateCode[1]/@displayName	70	г. Москва	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/0/display; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/1/display	retain original NSI coding alongside canonical RuCore coding
amb-map-0059	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/address:stateCode[1]/@codeSystemVersion	70	6.5	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/1/valueCodeableConcept/coding/1/version	NSI edition belongs to source OID coding
amb-map-0060	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/cda:postalCode[1]/text()	72	123458	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/postalCode	copy
amb-map-0061	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/fias:Address[1]/fias:AOGUID[1]/text()	76	45d96a50-7870-4183-872b-451c6573a7c9	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/2/extension/0/valueIdentifier/value	copy
amb-map-0062	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:addr[1]/fias:Address[1]/fias:HOUSEGUID[1]/text()	78	f8a876ac-4ea1-4a3e-b255-dd0d0f510802	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/address/0/extension/2/extension/1/valueIdentifier/value	copy
amb-map-0063	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:telecom[1]/@use	82	WP	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/telecom/0/use	CDA contact use
amb-map-0064	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:telecom[1]/@value	82	tel:+74951953745	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/telecom/0/value; Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/telecom/0/system	URI scheme -> ContactPoint.system
amb-map-0065	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:name[1]/cda:family[1]/text()	88	Сельченков	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/name/0/family	copy
amb-map-0066	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:name[1]/cda:given[1]/text()	90	Михаил	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/name/0/given/0	copy
amb-map-0067	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:name[1]/identity:Patronymic[1]/text()	92	Владимирович	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/name/0/given/1	copy
amb-map-0068	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:administrativeGenderCode[1]/@code	95	1	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/gender	NSI sex -> FHIR administrative gender
amb-map-0069	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:administrativeGenderCode[1]/@codeSystem	95	1.2.643.5.1.13.13.11.1040	report-only		GAP: no structured rule; source retained
amb-map-0070	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:administrativeGenderCode[1]/@codeSystemName	95	Пол пациента	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0071	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:administrativeGenderCode[1]/@displayName	95	Мужской	report-only		GAP: no structured rule; source retained
amb-map-0072	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:administrativeGenderCode[1]/@codeSystemVersion	95	2.1	report-only		GAP: no structured rule; source retained
amb-map-0073	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:patient[1]/cda:birthTime[1]/@value	97	19580217	mapped	Patient/20e7b661-ffe9-55e1-af83-a6bbec433090#/birthDate	CDA TS -> FHIR temporal value (minute precision padded with :00)
amb-map-0074	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:id[1]/@root	103	1.2.643.5.1.13.13.12.2.77.7831	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/identifier/0/value	FRMO organization OID
amb-map-0075	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:id[1]/@extension	103	1.2.643.5.1.13.13.12.2.77.7831.0.107531	mapped	Organization/9b9377e9-7935-5d94-98a7-31b63e748ea4#/identifier/0/value	FRMO department OID
amb-map-0076	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:id[2]/@root	105	1.2.643.5.1.13.2.1.1.1504.101	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/qualification/0/identifier/0/system	OID namespace -> URI
amb-map-0077	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:id[2]/@extension	105	ЛО-77-01-019710	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/qualification/0/identifier/0/value	copy
amb-map-0078	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:id[2]/@assigningAuthorityName	105	Департамент здравоохранения г. Москвы. Дата регистрации: 26.01.2023г.	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/qualification/0/identifier/0/assigner/display	copy
amb-map-0079	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/identity:Props[1]/identity:Ogrn[1]/text()	109	1027739578404	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/identifier/1/value	copy
amb-map-0080	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/identity:Props[1]/identity:Okpo[1]/text()	112	5009247	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/identifier/2/value	copy
amb-map-0081	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/identity:Props[1]/identity:Okato[1]/text()	114	45263594000	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/extension/0/valueCodeableConcept/coding/0/code	copy
amb-map-0082	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:name[1]/text()	117	"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 64 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ"""	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/name	copy
amb-map-0083	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:telecom[1]/@use	119	WP	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/telecom/0/use	CDA contact use
amb-map-0084	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:telecom[1]/@value	119	tel:+74953754826	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/telecom/0/value; Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/telecom/0/system	URI scheme -> ContactPoint.system
amb-map-0085	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:telecom[2]/@value	121	mailto:gp129@zdrav.mos.ru	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/telecom/1/value; Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/telecom/1/system	URI scheme -> ContactPoint.system
amb-map-0086	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/cda:streetAddressLine[1]/text()	125	г Москва, ул Ладожская, д 4-6 стр 1	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/text	copy
amb-map-0087	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/address:stateCode[1]/@code	127	77	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/0/code; Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/1/code	retain original NSI coding alongside canonical RuCore coding
amb-map-0088	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/address:stateCode[1]/@codeSystem	127	1.2.643.5.1.13.13.99.2.206	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/0/system; Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/1/system	retain original NSI coding alongside canonical RuCore coding
amb-map-0089	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/address:stateCode[1]/@codeSystemName	127	Субъекты Российской Федерации	technical		CDA structural/type/dictionary-label metadata; exact value in trace/source
amb-map-0090	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/address:stateCode[1]/@displayName	127	г. Москва	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/0/display; Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/1/display	retain original NSI coding alongside canonical RuCore coding
amb-map-0091	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/address:stateCode[1]/@codeSystemVersion	127	6.5	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/0/valueCodeableConcept/coding/1/version	NSI edition belongs to source OID coding
amb-map-0092	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/cda:postalCode[1]/text()	129	105005	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/postalCode	copy
amb-map-0093	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/fias:Address[1]/fias:AOGUID[1]/text()	133	212d3123-9c4d-4579-b31a-b5c6e9632b04	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/1/extension/0/valueIdentifier/value	copy
amb-map-0094	/cda:ClinicalDocument[1]/cda:recordTarget[1]/cda:patientRole[1]/cda:providerOrganization[1]/cda:addr[1]/fias:Address[1]/fias:HOUSEGUID[1]/text()	135	e59f1e55-75c8-4037-9615-ed7ce751b745	mapped	Organization/44de7ca7-d79c-5b5f-88d7-eddd0d8ea9cf#/contact/0/address/extension/1/extension/1/valueIdentifier/value	copy
amb-map-0095	/cda:ClinicalDocument[1]/cda:author[1]/cda:time[1]/@nullFlavor	144	NI	report-only		GAP: no structured rule; source retained
amb-map-0096	/cda:ClinicalDocument[1]/cda:author[1]/cda:assignedAuthor[1]/cda:id[1]/@root	148	1.2.643.5.1.13.13.12.2.77.7831.100.1.1.70	mapped	PractitionerRole/6715b4b6-261f-5d37-b28f-fdaec0148fc9#/identifier/0/system	OID namespace -> URI
amb-map-0097	/cda:ClinicalDocument[1]/cda:author[1]/cda:assignedAuthor[1]/cda:id[1]/@extension	148	542174	mapped	PractitionerRole/6715b4b6-261f-5d37-b28f-fdaec0148fc9#/identifier/0/value	copy
amb-map-0098	/cda:ClinicalDocument[1]/cda:author[1]/cda:assignedAuthor[1]/cda:id[2]/@root	150	1.2.643.100.3	mapped	Practitioner/b0051ece-3b9e-54a9-a634-333b438585b1#/identifier/0/system	OID namespace -> URI
